date,district,domestic_tourists,foreign_tourists,total_tourists,hotel_revenue,bar_revenue,boating_revenue,total_revenue,hotel_room_keys,hotel_class,growth_rate_domestic,growth_rate_foreign,growth_rate_total,top_district_rank,data_source,crimes_reported
01-01-2015,Tirupati,126738,11806,138544,3462474,1013054,42786,4518314,1000,5 Star,0.025,0.071,0.048,4,fabricated_data,50
01-01-2015,NTR,93746,6762,100508,2551765,908658,20307,3480730,1200,3 Star,0.069,0.053,0.061,9,fabricated_data,44
01-01-2015,Guntur,79744,5797,85541,1827848,544796,27966,2400610,1000,5 Star,0.099,0.043,0.071,5,fabricated_data,60
01-01-2015,Visakhapatnam,145720,16955,162675,4297116,1432159,105691,5834966,500,4 Star,0.028,0.058,0.043,7,fabricated_data,60
01-01-2015,Alluri Seetarama Raju,69331,4690,74021,1657746,409828,28241,2095815,700,4 Star,0.023,0.069,0.046,2,fabricated_data,49
01-01-2015,Srikakulam,63491,4165,67656,1477144,498545,21172,1996861,1500,3 Star,0.042,0.068,0.055,10,fabricated_data,78
01-01-2015,Chittoor,106226,8488,114714,2439239,618908,25995,3084143,500,3 Star,0.036,0.01,0.023,3,fabricated_data,65
01-01-2015,Kakinada,74774,4920,79694,1550846,507890,17040,2075776,500,4 Star,0.028,0.036,0.032,8,fabricated_data,63
01-01-2015,Nandyal,52949,3030,55979,1356153,366123,20867,1743143,1000,3 Star,0.078,0.027,0.052,7,fabricated_data,32
01-01-2015,Krishna,101607,7463,109070,2478537,610515,49129,3138181,500,3 Star,0.061,0.074,0.068,7,fabricated_data,60
01-02-2015,Tirupati,100796,7287,108083,2966279,805796,42113,3814187,1200,4 Star,0.07,0.031,0.051,5,fabricated_data,50
01-02-2015,NTR,74251,5435,79686,2147754,571489,33859,2753101,1200,3 Star,0.045,0.018,0.032,9,fabricated_data,62
01-02-2015,Guntur,54006,4778,58784,1244720,314492,24542,1583754,1500,3 Star,0.03,0.034,0.032,6,fabricated_data,40
01-02-2015,Visakhapatnam,121394,14567,135961,2506655,761089,58086,3325830,700,5 Star,0.044,0.03,0.037,1,fabricated_data,43
01-02-2015,Alluri Seetarama Raju,54766,3893,58659,1113421,368321,21557,1503299,700,3 Star,0.059,0.079,0.069,7,fabricated_data,63
01-02-2015,Srikakulam,47354,2763,50117,1291920,323850,15277,1631047,1000,5 Star,0.027,0.068,0.048,6,fabricated_data,64
01-02-2015,Chittoor,85733,6634,92367,1903479,733510,41383,2678372,1200,5 Star,0.034,0.058,0.046,7,fabricated_data,76
01-02-2015,Kakinada,51012,3333,54345,1078125,490912,21696,1590733,1000,5 Star,0.073,0.067,0.07,9,fabricated_data,55
01-02-2015,Nandyal,38086,2872,40958,1129410,296746,18756,1444911,500,3 Star,0.048,0.061,0.054,3,fabricated_data,72
01-02-2015,Krishna,73567,7256,80823,2097343,711994,44562,2853899,1200,4 Star,0.021,0.017,0.019,3,fabricated_data,78
01-03-2015,Tirupati,95678,7532,103210,2378186,692912,52557,3123654,1200,3 Star,0.021,0.045,0.033,4,fabricated_data,50
01-03-2015,NTR,73418,6397,79815,1694532,566251,32211,2292994,1500,5 Star,0.091,0.054,0.072,2,fabricated_data,47
01-03-2015,Guntur,61741,5253,66994,1768366,379764,26248,2174378,1200,5 Star,0.081,0.013,0.047,5,fabricated_data,74
01-03-2015,Visakhapatnam,125945,17038,142983,2935463,977815,90117,4003395,1200,3 Star,0.026,0.031,0.028,7,fabricated_data,43
01-03-2015,Alluri Seetarama Raju,49852,3847,53699,1193802,459689,25852,1679342,700,5 Star,0.099,0.02,0.06,10,fabricated_data,73
01-03-2015,Srikakulam,47166,3177,50343,1274654,320609,13262,1608524,700,5 Star,0.04,0.053,0.046,10,fabricated_data,30
01-03-2015,Chittoor,82046,6357,88403,1699124,573003,20362,2292489,1000,5 Star,0.022,0.051,0.036,7,fabricated_data,63
01-03-2015,Kakinada,53109,3137,56246,1583626,488320,20207,2092153,500,4 Star,0.086,0.035,0.06,5,fabricated_data,56
01-03-2015,Nandyal,42159,2286,44445,1105784,228786,7331,1341901,1200,4 Star,0.063,0.055,0.059,4,fabricated_data,36
01-03-2015,Krishna,82043,6918,88961,1674553,573817,32750,2281121,700,5 Star,0.04,0.023,0.032,7,fabricated_data,51
01-04-2015,Tirupati,124523,8327,132850,3630112,898030,32968,4561110,500,3 Star,0.042,0.077,0.059,7,fabricated_data,50
01-04-2015,NTR,82919,7696,90615,1697946,649271,27972,2375189,500,3 Star,0.029,0.013,0.021,1,fabricated_data,45
01-04-2015,Guntur,78904,5415,84319,1591621,695683,33723,2321026,1200,3 Star,0.057,0.055,0.056,10,fabricated_data,60
01-04-2015,Visakhapatnam,147890,15544,163434,3511815,1202242,77915,4791972,500,3 Star,0.075,0.053,0.064,7,fabricated_data,77
01-04-2015,Alluri Seetarama Raju,64406,4996,69402,1803979,540099,26446,2370524,500,3 Star,0.085,0.067,0.076,3,fabricated_data,71
01-04-2015,Srikakulam,55636,3283,58919,1265141,337874,14803,1617819,1500,5 Star,0.069,0.034,0.052,10,fabricated_data,45
01-04-2015,Chittoor,102621,7198,109819,2888236,657726,24996,3570958,1500,4 Star,0.07,0.071,0.071,4,fabricated_data,50
01-04-2015,Kakinada,72172,4260,76432,1749067,566016,22594,2337677,1000,4 Star,0.04,0.051,0.045,7,fabricated_data,76
01-04-2015,Nandyal,51440,2936,54376,1415048,451268,10019,1876336,500,3 Star,0.06,0.068,0.064,6,fabricated_data,44
01-04-2015,Krishna,82799,6755,89554,2449643,764708,29855,3244205,1200,4 Star,0.074,0.044,0.059,10,fabricated_data,61
01-05-2015,Tirupati,118762,9004,127766,2765569,993158,54110,3812836,500,5 Star,0.027,0.045,0.036,7,fabricated_data,50
01-05-2015,NTR,76538,7711,84249,1948593,652805,53010,2654408,500,4 Star,0.087,0.071,0.079,6,fabricated_data,34
01-05-2015,Guntur,74893,5230,80123,2113376,638928,17392,2769695,1500,4 Star,0.099,0.036,0.068,1,fabricated_data,74
01-05-2015,Visakhapatnam,136416,20201,156617,3535751,920957,117827,4574535,1000,3 Star,0.05,0.059,0.054,10,fabricated_data,75
01-05-2015,Alluri Seetarama Raju,55334,4789,60123,1112962,406334,15446,1534742,1200,3 Star,0.086,0.062,0.074,3,fabricated_data,59
01-05-2015,Srikakulam,58991,3464,62455,1348364,551153,13490,1913007,700,3 Star,0.098,0.013,0.056,5,fabricated_data,32
01-05-2015,Chittoor,104153,9456,113609,2346557,882911,31221,3260689,500,3 Star,0.076,0.042,0.059,5,fabricated_data,64
